0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000104-02,0.4,128.72,108.09,646.85,593.94,0.5,356.45,0.61,815.26,1067.59,34.81,34.58,733.41,0.25,0.25,71.56,67.09,1.41,1.42,0.42,0.38,0.63,0.46,0.0,0.0,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-01,0.382,115.47,109.75,734.9,556.33,0.45,321.4,0.57,875.81,1372.18,32.87,32.58,750.11,0.26,0.26,59.91,53.4,1.38,1.67,0.42,0.38,0.62,0.46,2.11,7.47,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
